image_id,hotel_id
000000741.jpg,4512
000000740.jpg,4512
000000742.jpg,4512
000000743.jpg,4512
000000741_dalleaugment_1.jpg,4512
000000741_dalleaugment_2.jpg,4512
000000741_dalleaugment_3.jpg,4512
000006553.jpg,4563
000006552.jpg,4563
000006550.jpg,4563
000006551.jpg,4563
000006551_dalleaugment_1.jpg,4563
000006551_dalleaugment_2.jpg,4563
000006551_dalleaugment_3.jpg,4563
000005609.jpg,4707
000005608.jpg,4707
000005611.jpg,4707
000005610.jpg,4707
000005610_dalleaugment_1.jpg,4707
000005610_dalleaugment_2.jpg,4707
000005610_dalleaugment_3.jpg,4707
000005895.jpg,16402
000005894.jpg,16402
000005893.jpg,16402
000005892.jpg,16402
000005894_dalleaugment_1.jpg,16402
000005894_dalleaugment_2.jpg,16402
000005894_dalleaugment_3.jpg,16402
000010262.jpg,18558
000010263.jpg,18558
000010261.jpg,18558
000010260.jpg,18558
000010260_dalleaugment_1.jpg,18558
000010260_dalleaugment_2.jpg,18558
000010260_dalleaugment_3.jpg,18558
000001420.jpg,82003
000001418.jpg,82003
000001419.jpg,82003
000001417.jpg,82003
000001419_dalleaugment_1.jpg,82003
000001419_dalleaugment_2.jpg,82003
000001419_dalleaugment_3.jpg,82003
000006616.jpg,309377
000006617.jpg,309377
000006615.jpg,309377
000006614.jpg,309377
000006617_dalleaugment_1.jpg,309377
000006617_dalleaugment_2.jpg,309377
000006617_dalleaugment_3.jpg,309377
000007119.jpg,223365
000007122.jpg,223365
000007121.jpg,223365
000007120.jpg,223365
000007122_dalleaugment_1.jpg,223365
000007122_dalleaugment_2.jpg,223365
000007122_dalleaugment_3.jpg,223365
000007988.jpg,82055
000007989.jpg,82055
000007990.jpg,82055
000007987.jpg,82055
000007990_dalleaugment_1.jpg,82055
000007990_dalleaugment_2.jpg,82055
000007990_dalleaugment_3.jpg,82055
000002074.jpg,206987
000002075.jpg,206987
000002077.jpg,206987
000002076.jpg,206987
000002075_dalleaugment_1.jpg,206987
000002075_dalleaugment_2.jpg,206987
000002075_dalleaugment_3.jpg,206987
000002150.jpg,82077
000002151.jpg,82077
000002153.jpg,82077
000002152.jpg,82077
000002153_dalleaugment_1.jpg,82077
000002153_dalleaugment_2.jpg,82077
000002153_dalleaugment_3.jpg,82077
000002394.jpg,133296
000002391.jpg,133296
000002392.jpg,133296
000002393.jpg,133296
000002394_dalleaugment_1.jpg,133296
000002394_dalleaugment_2.jpg,133296
000002394_dalleaugment_3.jpg,133296
000009983.jpg,86212
000009986.jpg,86212
000009984.jpg,86212
000009985.jpg,86212
000009986_dalleaugment_1.jpg,86212
000009986_dalleaugment_2.jpg,86212
000009986_dalleaugment_3.jpg,86212
000001522.jpg,309500
000001521.jpg,309500
000001520.jpg,309500
000001519.jpg,309500
000001522_dalleaugment_1.jpg,309500
000001522_dalleaugment_2.jpg,309500
000001522_dalleaugment_3.jpg,309500
000000512.jpg,207157
000000510.jpg,207157
000000511.jpg,207157
000000510_dalleaugment_1.jpg,207157
000000510_dalleaugment_2.jpg,207157
000000510_dalleaugment_3.jpg,207157
000007337.jpg,84360
000007336.jpg,84360
000007338.jpg,84360
000007336_dalleaugment_1.jpg,84360
000007336_dalleaugment_2.jpg,84360
000007336_dalleaugment_3.jpg,84360
000006897.jpg,6629
000006896.jpg,6629
000006894.jpg,6629
000006895.jpg,6629
000006897_dalleaugment_1.jpg,6629
000006897_dalleaugment_2.jpg,6629
000006897_dalleaugment_3.jpg,6629
000009586.jpg,2703
000009587.jpg,2703
000009589.jpg,2703
000009588.jpg,2703
000009587_dalleaugment_1.jpg,2703
000009587_dalleaugment_2.jpg,2703
000009587_dalleaugment_3.jpg,2703
000010229.jpg,16468
000010228.jpg,16468
000010227.jpg,16468
000010227_dalleaugment_1.jpg,16468
000010227_dalleaugment_2.jpg,16468
000010227_dalleaugment_3.jpg,16468
000010228_dalleaugment_1.jpg,16468
000010228_dalleaugment_2.jpg,16468
000010228_dalleaugment_3.jpg,16468
000007297.jpg,45274
000007296.jpg,45274
000007294.jpg,45274
000007295.jpg,45274
000007295_dalleaugment_1.jpg,45274
000007295_dalleaugment_2.jpg,45274
000007295_dalleaugment_3.jpg,45274
000006739.jpg,309506
000006740.jpg,309506
000006741.jpg,309506
000006739_dalleaugment_1.jpg,309506
000006739_dalleaugment_2.jpg,309506
000006739_dalleaugment_3.jpg,309506
000005860.jpg,26959
000005859.jpg,26959
000005858.jpg,26959
000005857.jpg,26959
000005857_dalleaugment_1.jpg,26959
000005857_dalleaugment_2.jpg,26959
000005857_dalleaugment_3.jpg,26959
000006145.jpg,94625
000006144.jpg,94625
000006146.jpg,94625
000006143.jpg,94625
000006145_dalleaugment_1.jpg,94625
000006145_dalleaugment_2.jpg,94625
000006145_dalleaugment_3.jpg,94625
000007870.jpg,309778
000007867.jpg,309778
000007869.jpg,309778
000007868.jpg,309778
000007867_dalleaugment_1.jpg,309778
000007867_dalleaugment_2.jpg,309778
000007867_dalleaugment_3.jpg,309778
000010128.jpg,204924
000010129.jpg,204924
000010127.jpg,204924
000010130.jpg,204924
000010130_dalleaugment_1.jpg,204924
000010130_dalleaugment_2.jpg,204924
000010130_dalleaugment_3.jpg,204924
000007253.jpg,82008
000007254.jpg,82008
000007255.jpg,82008
000007256.jpg,82008
000007254_dalleaugment_1.jpg,82008
000007254_dalleaugment_2.jpg,82008
000007254_dalleaugment_3.jpg,82008
000010207.jpg,18522
000010206.jpg,18522
000010208.jpg,18522
000010209.jpg,18522
000010206_dalleaugment_1.jpg,18522
000010206_dalleaugment_2.jpg,18522
000010206_dalleaugment_3.jpg,18522
000004274.jpg,12381
000004275.jpg,12381
000004276.jpg,12381
000004276_dalleaugment_1.jpg,12381
000004276_dalleaugment_2.jpg,12381
000004276_dalleaugment_3.jpg,12381
000001819.jpg,22705
000001822.jpg,22705
000001820.jpg,22705
000001821.jpg,22705
000001822_dalleaugment_1.jpg,22705
000001822_dalleaugment_2.jpg,22705
000001822_dalleaugment_3.jpg,22705
000002081.jpg,51404
000002080.jpg,51404
000002078.jpg,51404
000002079.jpg,51404
000002080_dalleaugment_1.jpg,51404
000002080_dalleaugment_2.jpg,51404
000002080_dalleaugment_3.jpg,51404
000006305.jpg,43260
000006304.jpg,43260
000006306.jpg,43260
000006303.jpg,43260
000006306_dalleaugment_1.jpg,43260
000006306_dalleaugment_2.jpg,43260
000006306_dalleaugment_3.jpg,43260
000007326.jpg,47418
000007327.jpg,47418
000007325.jpg,47418
000007324.jpg,47418
000007326_dalleaugment_1.jpg,47418
000007326_dalleaugment_2.jpg,47418
000007326_dalleaugment_3.jpg,47418
000002706.jpg,307594
000002705.jpg,307594
000002704.jpg,307594
000002703.jpg,307594
000002704_dalleaugment_1.jpg,307594
000002704_dalleaugment_2.jpg,307594
000002704_dalleaugment_3.jpg,307594
000001547.jpg,88550
000001546.jpg,88550
000001544.jpg,88550
000001545.jpg,88550
000001544_dalleaugment_1.jpg,88550
000001544_dalleaugment_2.jpg,88550
000001544_dalleaugment_3.jpg,88550
000005778.jpg,73906
000005779.jpg,73906
000005780.jpg,73906
000005777.jpg,73906
000005777_dalleaugment_1.jpg,73906
000005777_dalleaugment_2.jpg,73906
000005777_dalleaugment_3.jpg,73906
000002968.jpg,309431
000002968_dalleaugment_1.jpg,309431
000002968_dalleaugment_2.jpg,309431
000002968_dalleaugment_3.jpg,309431
000002968_dalleaugment_4.jpg,309431
000004115.jpg,200924
000004114.jpg,200924
000004113.jpg,200924
000004112.jpg,200924
000004113_dalleaugment_1.jpg,200924
000004113_dalleaugment_2.jpg,200924
000004113_dalleaugment_3.jpg,200924
000001804.jpg,4361
000001805.jpg,4361
000001806.jpg,4361
000001803.jpg,4361
000001806_dalleaugment_1.jpg,4361
000001806_dalleaugment_2.jpg,4361
000001806_dalleaugment_3.jpg,4361
000007342.jpg,207165
000007340.jpg,207165
000007341.jpg,207165
000007339.jpg,207165
000007339_dalleaugment_1.jpg,207165
000007339_dalleaugment_2.jpg,207165
000007339_dalleaugment_3.jpg,207165
000001584.jpg,22925
000001585.jpg,22925
000001587.jpg,22925
000001586.jpg,22925
000001584_dalleaugment_1.jpg,22925
000001584_dalleaugment_2.jpg,22925
000001584_dalleaugment_3.jpg,22925
000005262.jpg,23024
000005263.jpg,23024
000005264.jpg,23024
000005265.jpg,23024
000005264_dalleaugment_1.jpg,23024
000005264_dalleaugment_2.jpg,23024
000005264_dalleaugment_3.jpg,23024
000005418.jpg,32966
000005415.jpg,32966
000005417.jpg,32966
000005417_dalleaugment_1.jpg,32966
000005417_dalleaugment_2.jpg,32966
000005417_dalleaugment_3.jpg,32966
000007308.jpg,2727
000007309.jpg,2727
000007307.jpg,2727
000007306.jpg,2727
000007308_dalleaugment_1.jpg,2727
000007308_dalleaugment_2.jpg,2727
000007308_dalleaugment_3.jpg,2727
000008471.jpg,16593
